"Theta [deg]","dB(GainX) [] - Freq='8.75GHz' Phi='0deg'","dB(GainY) [] - Freq='8.75GHz' Phi='0deg'"
107,-18.9318791555332,-48.6547700957012
108,-18.8749928058928,-47.9685458237553
109,-19.0106186338029,-47.1606289037891
110,-19.2812568585631,-46.2316455394554
111,-19.5761649709703,-45.4176646777335
112,-19.8428492917562,-44.9121690890167
113,-20.1652693002494,-44.7264275070477
114,-20.6981629753331,-44.697975745993
115,-21.5166583690772,-44.6029170892872
116,-22.4698971557138,-44.3599855318581
117,-23.1230595675036,-44.105757084411
118,-23.0876033028094,-44.0272320964891
119,-22.4884255380995,-44.1965888603088
120,-21.6491758496451,-44.5441866964669
121,-20.6593634858493,-44.9404065717019
122,-19.4857493775284,-45.3438606948723
123,-18.2007175845241,-45.8851277359522
124,-16.973703387089,-46.7964832068893
125,-15.9383813549183,-48.3104835130101
126,-15.137161870005,-50.6284026426366
127,-14.5430996518299,-53.8577435269795
128,-14.1028634084469,-57.2840872023077
129,-13.7751826456406,-57.7161573788079
130,-13.5504480600205,-55.3432825763724
131,-13.4437013735915,-52.9760817008396
132,-13.4697015061422,-51.0547560612583
133,-13.6172803620719,-49.4678727170745
134,-13.8345114478493,-48.1283861983082
135,-14.0317965187261,-46.9876449782493
136,-14.1101675824287,-46.0180706288954
137,-14.0086105752615,-45.2110398164466
138,-13.7364934437272,-44.5716305691408
139,-13.362871150493,-44.1048307457274
140,-12.9813342344053,-43.8013235291703
141,-12.6850126284883,-43.6305397984401
142,-12.5596232165389,-43.5433588189565
143,-12.6837792986388,-43.4836029274253
144,-13.1249523128217,-43.4048174198974
145,-13.9142181810196,-43.2853801992983
146,-14.9514617619091,-43.1344542538218
147,-15.7660943502333,-42.9866240179439
148,-15.4852696892812,-42.8898106516429
149,-13.9416004732231,-42.8930554193182
150,-11.9798504465103,-43.0381820214356
151,-10.2255584312462,-43.3561565376713
152,-8.87181899150215,-43.8673252229059
153,-7.94296633014249,-44.5844192941925
154,-7.42551631363313,-45.5172675315925
155,-7.30865897170829,-46.6775724006553
156,-7.59708371363749,-48.0799389181042
157,-8.31814146856825,-49.7298794294895
158,-9.5297800712808,-51.5771366092416
159,-11.3254687639225,-53.4022777605992
160,-13.7828439249109,-54.7178588848907
161,-16.4813423837744,-55.1279455067424
162,-17.0487308509449,-54.9503490807734
163,-14.6162669755554,-54.8629309966481
164,-11.8985146758923,-55.3666922063208
165,-9.7985208452684,-56.8345292816432
166,-8.29233428265933,-59.5451125002252
167,-7.26770239801249,-61.3206244011324
168,-6.64058371056744,-57.2504727973866
169,-6.35599050166054,-52.6517968234548
170,-6.37861164276146,-49.2319237221048
171,-6.68511755125887,-46.6959848180599
172,-7.25785467380677,-44.7928164953058
173,-8.07808943936281,-43.3747721285756
174,-9.11649971415669,-42.3541528366337
175,-10.3185618793987,-41.6773552395196
176,-11.5854593463173,-41.311209466522
177,-12.7634154923263,-41.2350297578453
178,-13.6736263311219,-41.4346318269874
179,-14.1943338601904,-41.8953251702839
180,-14.3148846654376,-42.5899009440307
