"Theta [deg]","dB(GainX) [] - Freq='8.75GHz' Phi='0deg'","dB(GainX) [] - Freq='8.75GHz' Phi='90deg'"
57,-5.3909854939362,-20.2418073723009
58,-6.30661806788946,-19.6148077005236
59,-7.37744968661776,-19.0991829019001
60,-8.60505073917336,-18.7191712200484
61,-10.0053762565208,-18.4569848201204
62,-11.6157304170412,-18.2971233387172
63,-13.4972866353104,-18.2458418162589
64,-15.7352883744114,-18.3251348951844
65,-18.4443828801265,-18.5528420188003
66,-21.7801475757518,-18.9250082472163
67,-25.8413657122899,-19.4106179973723
68,-29.387072102944,-19.9626505105968
69,-28.5127666884957,-20.5432753476525
70,-25.6737811430063,-21.1488340461832
71,-23.4723100751228,-21.8129477234852
72,-22.0061510029816,-22.5812456252176
73,-21.0782175175627,-23.4736987253547
74,-20.5174158175251,-24.4560182857487
75,-20.2003534775407,-25.4422316694221
76,-20.0622487803719,-26.3511393344667
77,-20.0926212193291,-27.1916507157
78,-20.3053078752705,-28.0810731916304
79,-20.7033224582684,-29.1609596385265
80,-21.2653873863569,-30.483342830024
81,-21.9629393213343,-31.9134533737912
82,-22.7927285676869,-33.1169639631828
83,-23.7938049125294,-33.8462013116217
84,-25.0327182193174,-34.3094087664231
85,-26.5795046391738,-34.9631405640765
86,-28.5151416203667,-36.1164003737373
87,-31.0054513168093,-37.756275100277
88,-34.5007536771089,-39.2901255785648
89,-40.5062610738851,-39.6935940642777
90,-300.788127369151,-39.1300976071556
91,-40.6372786247651,-38.685078648523
92,-34.7300266550556,-38.8388400689417
93,-31.2885961218424,-39.3744599900947
94,-28.827745187493,-39.5045222257927
95,-26.932216400345,-38.674441884036
96,-25.4540040370117,-37.4242181675609
97,-24.2948520018551,-36.4028126881618
98,-23.3397580813532,-35.7399037327348
99,-22.4799984912525,-35.2436672659729
100,-21.6732074860657,-34.6735820803066
101,-20.9581570618248,-33.9662023867644
102,-20.3950778756293,-33.2358941496967
103,-19.9945964182427,-32.5891063481776
104,-19.697615697879,-32.0202030514247
105,-19.4222633770447,-31.4455809395402
106,-19.1452501419509,-30.7877322649302
107,-18.9318791555332,-30.0286222455786
108,-18.8749928058928,-29.2098319593009
109,-19.0106186338029,-28.4160976803294
110,-19.2812568585631,-27.7615179993536
111,-19.5761649709703,-27.3642832994581
112,-19.8428492917562,-27.3061249767813
113,-20.1652693002494,-27.57676499284
114,-20.6981629753331,-27.9965594488094
115,-21.5166583690772,-28.1975706743463
116,-22.4698971557138,-27.9072665728601
117,-23.1230595675036,-27.3229806885083
118,-23.0876033028094,-26.8985957602403
119,-22.4884255380995,-26.96963892312
120,-21.6491758496451,-27.7034408849058
121,-20.6593634858493,-29.147443504082
122,-19.4857493775284,-31.1577554955922
123,-18.2007175845241,-33.1242000884203
124,-16.973703387089,-34.1366581153182
125,-15.9383813549183,-34.4275221522543
126,-15.137161870005,-35.1200584729324
127,-14.5430996518299,-36.9215316172038
128,-14.1028634084469,-39.648972751872
129,-13.7751826456406,-39.8627602010043
130,-13.5504480600205,-36.5997330596893
131,-13.4437013735915,-33.7459788762181
132,-13.4697015061422,-31.8472571769428
133,-13.6172803620719,-30.5683427591665
134,-13.8345114478493,-29.5842428099202
135,-14.0317965187261,-28.7030000405749
136,-14.1101675824287,-27.9124850987066
137,-14.0086105752615,-27.3346927523083
138,-13.7364934437272,-27.1349654283913
139,-13.362871150493,-27.4774811685456
140,-12.9813342344053,-28.5363164340729
141,-12.6850126284883,-30.5079224852745
142,-12.5596232165389,-33.3246482827429
143,-12.6837792986388,-34.6085787591439
144,-13.1249523128217,-31.834500515481
145,-13.9142181810196,-28.6650372461529
146,-14.9514617619091,-26.4032693928453
147,-15.7660943502333,-24.9135392238081
148,-15.4852696892812,-23.9647552068407
149,-13.9416004732231,-23.3477281242066
150,-11.9798504465103,-22.8650872132587
151,-10.2255584312462,-22.3473265694017
152,-8.87181899150215,-21.6996061600108
153,-7.94296633014249,-20.9291618801146
154,-7.42551631363313,-20.1137238559248
155,-7.30865897170829,-19.3438802528415
156,-7.59708371363749,-18.6884930351557
157,-8.31814146856825,-18.189093460354
158,-9.5297800712808,-17.8666512491818
159,-11.3254687639225,-17.7291693522825
160,-13.7828439249109,-17.7765830999628
161,-16.4813423837744,-18.0026168349768
162,-17.0487308509449,-18.393290500857
163,-14.6162669755554,-18.9206231529788
164,-11.8985146758923,-19.5291323642261
165,-9.7985208452684,-20.1155465648114
166,-8.29233428265933,-20.5177779728733
167,-7.26770239801249,-20.5571387392592
168,-6.64058371056744,-20.151514082492
169,-6.35599050166054,-19.3870298184674
170,-6.37861164276146,-18.4442811937751
171,-6.68511755125887,-17.4839448197859
172,-7.25785467380677,-16.6040562048249
173,-8.07808943936281,-15.8510916111416
174,-9.11649971415669,-15.2409979494787
175,-10.3185618793987,-14.7741682554314
176,-11.5854593463173,-14.4439335311795
177,-12.7634154923263,-14.2411137342726
178,-13.6736263311219,-14.1565575440321
179,-14.1943338601904,-14.182734311994
180,-14.3148846654376,-14.3148846654376
