"Theta [deg]","dB(GainX) [] - Phi='0deg'","dB(GainY) [] - Phi='0deg'"
101,-29.36442251,-14.41308594
102,-29.471134,-14.9512816
103,-29.5778146,-15.51363449
104,-29.68425924,-16.10059906
105,-29.79026396,-16.71230958
106,-29.89562821,-17.34844049
107,-30.00016107,-18.00801192
108,-30.10368428,-18.68910776
109,-30.20603503,-19.38849304
110,-30.30706975,-20.10108874
111,-30.40666767,-20.81930195
112,-30.50472928,-21.53221902
113,-30.60117879,-22.22666145
114,-30.6959652,-22.87898333
115,-30.78905649,-23.46680915
116,-30.88044257,-23.9626994
117,-30.970127,-24.33956712
118,-31.05812654,-24.57566997
119,-31.14446708,-24.65963163
120,-31.22917622,-24.5932091
121,-31.31227923,-24.39021183
122,-31.39379625,-24.07227004
123,-31.47360267,-23.66386977
124,-31.5519401,-23.18821498
125,-31.62866487,-22.66500619
126,-31.70372887,-22.10982135
127,-31.77706371,-21.5344575
128,-31.84858138,-20.94765889
129,-31.91817147,-20.35587891
130,-31.98565274,-19.7639296
131,-32.05099259,-19.17546385
132,-32.11399114,-18.59331839
133,-32.17449916,-18.01974187
134,-32.2323728,-17.45654172
135,-32.28748314,-16.90518201
136,-32.33972174,-16.36684594
137,-32.38901351,-15.84247752
138,-32.43532136,-15.33281585
139,-32.47865607,-14.83842023
140,-32.51908271,-14.36064517
141,-32.55672549,-13.89774233
142,-32.59177324,-13.45093778
143,-32.62448263,-13.0202692
144,-32.65517631,-12.605691
145,-32.68424567,-12.20708449
146,-32.71214477,-11.82427387
147,-32.73939055,-11.45703477
148,-32.76655431,-11.10510557
149,-32.79426019,-10.76819706
150,-32.82316111,-10.44599858
151,-32.85397379,-10.13818433
152,-32.88743492,-9.844418963
153,-32.92430502,-9.56436308
154,-32.96536463,-9.297676865
155,-33.01141058,-9.044023017
156,-33.06325063,-8.803069471
157,-33.12170293,-8.574490639
158,-33.187594,-8.357971626
159,-33.26175807,-8.153207346
160,-33.3450377,-7.959905906
161,-33.43828933,-7.777786085
162,-33.54238096,-7.606581096
163,-33.65820366,-7.446039198
164,-33.78667278,-7.2959207
165,-33.92873674,-7.156001452
166,-34.08538883,-7.026072697
167,-34.25767427,-6.905937973
168,-34.44670684,-6.795418357
169,-34.65368071,-6.694345883
170,-34.87989416,-6.602570815
171,-35.12676699,-6.519953297
172,-35.39587099,-6.446371225
173,-35.6889609,-6.381712821
174,-36.00801626,-6.325882008
175,-36.3552919,-6.278795748
176,-36.73338152,-6.240383328
177,-37.14530139,-6.21058782
178,-37.59459638,-6.189363884
179,-38.085477,-6.176681144
180,-38.6230126,-6.172519106
