"Theta [deg]","dB(GainTotal) [] - Freq='10GHz' Phi='0deg'","dB(GainTotal) [] - Freq='10GHz' Phi='90deg'"
-68,-26.5603383439498,-27.029001704413
-67,-27.1642277307268,-25.5744212560222
-66,-27.8361400543766,-24.2888825247743
-65,-28.5469388429089,-23.1572916243555
-64,-29.2363510904908,-22.165781781652
-63,-29.800706329738,-21.3031903508535
-62,-30.1010704374968,-20.5611960953301
-61,-30.01815099127,-19.9340857988365
-60,-29.5322305176349,-19.4184704046409
-59,-28.7403522076825,-19.0130446599013
-58,-27.7878347601472,-18.7184038041432
-57,-26.7978404343133,-18.5368978785918
-56,-25.8490883741617,-18.4724794396631
-55,-24.9837307765013,-18.5304598090956
-54,-24.2203162981547,-18.7170023737287
-53,-23.5623129295761,-19.0379923738097
-52,-23.001241083366,-19.4965197229504
-51,-22.5155475026803,-20.0874094148477
-50,-22.0668692640528,-20.785932393048
-49,-21.5969916071569,-21.5271497107702
-48,-21.0321576035274,-22.1787794360043
-47,-20.3024160620452,-22.5391384055884
-46,-19.3731763454918,-22.4250551648388
-45,-18.266776647809,-21.822749078222
-44,-17.0531700131112,-20.9055405030012
-43,-15.8192914065922,-19.8909400307487
-42,-14.6432014392906,-18.9354162231775
-41,-13.5844245983854,-18.1264743572692
-40,-12.6855675665516,-17.5090957851601
-39,-11.9775143373516,-17.1069952699789
-38,-11.483753896201,-16.9309110519671
-37,-11.221604892595,-16.971697280568
-36,-11.1974728594989,-17.1683092094764
-35,-11.3891886256687,-17.3341978773744
-34,-11.7013645783118,-17.0837376034946
-33,-11.8886616926015,-16.0081387424298
-32,-11.548129079973,-14.1385959782484
-31,-10.4165947541617,-11.9049013318477
-30,-8.69589401360079,-9.67305596128622
-29,-6.79872138804728,-7.61119422957347
-28,-5.00312429052873,-5.77071069830683
-27,-3.42581332932141,-4.1556076976395
-26,-2.09937105856322,-2.75274134765406
-25,-1.02161416942769,-1.54143025917464
-24,-0.174034739132709,-0.494022148469652
-23,0.477107907187373,0.427860372399059
-22,0.990687872783234,1.27884393502926
-21,1.46759117066366,2.13310122897967
-20,2.06043038991084,3.07784818763574
-19,2.94093456962956,4.18994975903049
-18,4.20646399870885,5.50288763441471
-17,5.80759267430357,6.99049704875484
-16,7.594699180448,8.58415119833323
-15,9.41868823922275,10.206139502021
-14,11.1806294129612,11.7930493423858
-13,12.8290328852783,13.3023202844906
-12,14.3422802982665,14.7091124820968
-11,15.7144287127236,16.0007546884006
-10,16.9468432750494,17.172021378986
-9,18.0438464922605,18.2218969188062
-8,19.0106010624157,19.1515658606568
-7,19.8521368204684,19.9632273569172
-6,20.5729417276066,20.6594173465963
-5,21.1768232065674,21.2426305728531
-4,21.6668937567084,21.7151154631362
-3,22.0456086067138,22.078766831819
-2,22.3148197700797,22.3350726401728
-1,22.4758290401508,22.4850894037615
0,22.5294315561036,22.5294315561036
1,22.4759462412087,22.4682664282136
2,22.315232013363,22.3013104469894
3,22.0466904534425,22.0278248927994
4,21.6692573770532,21.6466119045197
5,21.1813881800952,21.1560140784107
6,20.5810458192149,20.5539247966791
7,19.8657073367573,19.8378225699165
8,19.0324176351557,19.0048532431084
9,18.0779426726141,18.0520024640519
10,16.9991172592064,16.9764334430473
11,15.7935602867714,15.776121543698
12,14.4610647114363,14.4510109249295
13,13.0061794350497,13.0050580940423
14,11.4427407805863,11.4496803861866
15,9.80106355852982,9.80910139970533
16,8.13706598103342,8.12725508076817
17,6.53758830129852,6.47300417302375
18,5.10770589988001,4.9349721185584
19,3.92774589938945,3.59546453832363
20,3.00143292483003,2.48933874973547
21,2.2476408984671,1.58135859559582
22,1.54523500203517,0.786609418171099
23,0.781647459579304,0.0123403639637818
24,-0.127768041108895,-0.813241310026449
25,-1.24232938616505,-1.73277539771054
26,-2.60373681159535,-2.76162613786698
27,-4.23760672096152,-3.89039355320902
28,-6.13667644090553,-5.08485174943372
29,-8.19892650760761,-6.28542377824904
30,-10.0907674097724,-7.41321218864596
31,-11.2067210706295,-8.39121805295653
32,-11.2337162634596,-9.17830711728137
33,-10.6167405080588,-9.79241274486298
34,-9.92115682046858,-10.3006431652839
35,-9.41492552474133,-10.7868776888405
36,-9.17027323363518,-11.3247867903421
37,-9.18756725872183,-11.9678387523302
38,-9.44745954099759,-12.7504394313723
39,-9.92775112494086,-13.6915768066314
40,-10.6078154784914,-14.7955364745322
41,-11.4689230760247,-16.0460013786445
