"Theta [deg]","dB(GainTotal) [] - Freq='20.5GHz' Phi='0deg'","dB(GainTotal) [] - Freq='20.5GHz' Phi='90deg'"
-43,1.78504096407736,5.51774836776992
-42,2.15975217478107,5.70156227763147
-41,2.52541907188589,5.88182723565405
-40,2.88209117956405,6.05851209003992
-39,3.22980988654323,6.23158481212347
-38,3.56860901258252,6.40101249460663
-37,3.8985153580571,6.56676135552548
-36,4.21954923439713,6.72879674863894
-35,4.53172497388327,6.88708318081864
-34,4.83505141790601,7.04158433690561
-33,5.1295323832762,7.19226311238554
-32,5.41516710655108,7.33908165412029
-31,5.69195066663297,7.48200140926155
-30,5.95987438611956,7.62098318236232
-29,6.21892621204814,7.75598720059546
-28,6.46909107679154,7.88697318688642
-27,6.71035123993726,8.01390044066975
-26,6.94268661202299,8.1367279258882
-25,7.16607506101525,8.25541436576868
-24,7.38049270240921,8.36991834383281
-23,7.58591417380201,8.48019841053133
-22,7.78231289475181,8.58621319483225
-21,7.96966131268512,8.68792152004313
-20,8.14793113555764,8.7852825231072
-19,8.31709355191261,8.87825577658417
-18,8.47711943891693,8.96680141250643
-17,8.62797955889216,9.05088024729274
-16,8.7696447447951,9.13045390690244
-15,8.90208607504476,9.20548495142426
-14,9.02527503803762,9.27593699831403
-13,9.13918368664479,9.34177484352506
-12,9.24378478294162,9.40296457981181
-11,9.3390519333845,9.45947371153219
-10,9.42495971462044,9.5112712653245
-9,9.50148379009374,9.55832789609075
-8,9.56860101759939,9.6006159877785
-7,9.62628954792624,9.63810974851609
-6,9.67452891473343,9.6707852997214
-5,9.71330011581049,9.69862075886952
-4,9.74258568588642,9.72159631567019
-3,9.76236976117298,9.73969430146913
-2,9.77263813585464,9.7528992517484
-1,9.77337831077,9.76119796165851
0,9.76457953456738,9.76457953456738
1,9.7462328376605,9.76303542365936
2,9.71833105935759,9.75655946665903
3,9.68086886858997,9.74514791378998
4,9.63384277872223,9.7287994491075
5,9.57725115698695,9.7075152053661
6,9.5110942291516,9.68129877259768
7,9.43537408009342,9.65015620058491
8,9.35009465103139,9.61409599541616
9,9.25526173424108,9.57312911030548
10,9.1508829661601,9.5272689308519
11,9.03696781987945,9.47653125490056
12,8.91352759810907,9.4209342671521
13,8.78057542780649,9.36049850864924
14,8.63812625776688,9.29524684125159
15,8.48619686059116,9.22520440719118
16,8.32480584058017,9.15039858378596
17,8.15397364924771,9.07085893337478
18,7.97372261030715,8.98661714852848
19,7.78407695616776,8.89770699258778
20,7.58506287818195,8.8041642355804
21,7.37670859311688,8.7060265855779
22,7.15904442858731,8.6033336155682
23,6.93210293048716,8.49612668594116
24,6.69591899579909,8.3844488627132
25,6.4505300345504,8.26834483165131
26,6.1959761651264,8.14786080849624
27,5.93230044765354,8.02304444552777
28,5.65954916073168,7.89394473476059
29,5.37777212743202,7.76061190810559
30,5.08702309719078,7.6230973348756
31,4.78736019102077,7.48145341705607
32,4.47884641833752,7.33573348279646
33,4.16155027465062,7.18599167860538
34,3.83554643040126,7.03228286075014
35,3.50091652232322,6.87466248636687
36,3.15775005984887,6.71318650477921
37,2.80614546024807,6.54791124950091
38,2.44621122733612,6.37889333135872
39,2.07806728966099,6.2061895331175
40,1.70184651500332,6.02985670591822
41,1.31769641869043,5.84995166775344
42,0.925781083502418,5.66653110410411
43,0.526283308654916,5.47965147074829
44,0.119407004255407,5.28936889862942
45,-0.294620154536976,5.09573910054034
46,-0.715543803011141,4.89881727924439
47,-1.1430796868629,4.69865803651869
48,-1.57691018918425,4.4953152824714
49,-2.01668059771467,4.28884214435878
50,-2.46199513973958,4.07929087401207
51,-2.91241283028352,3.86671275288425
52,-3.36744320218389,3.65115799364488
53,-3.82654201467202,3.43267563719289
54,-4.28910707038103,3.21131344392447
55,-4.75447430893255,2.98711777809072
56,-5.22191438742443,2.76013348410953
57,-5.6906300022777,2.53040375376137
58,-6.15975424977951,2.29796998330185
59,-6.62835035954553,2.06287161966642
60,-7.09541315963489,1.82514599512724
61,-7.55987263623639,1.58482814999011
62,-8.02059992563627,1.34195064319207
63,-8.47641601234161,1.09654335098018
64,-8.926103296897,0.848633254220305
65,-9.36842003571089,0.598244215304814
66,-9.80211744467464,0.345396746101895
67,-10.225959008446,0.0901077689226888
68,-10.6387412678858,-0.167609626921036
69,-11.0393150991615,-0.427746429727147
70,-11.4266062869322,-0.690297947190734
71,-11.799634070834,-0.95526404053631
72,-12.1575263444243,-1.2226493452114
73,-12.4995303310971,-1.49246347128051
74,-12.825017854477,-1.76472117542874
75,-13.1334847400264,-2.03944249507349
76,-13.4245443863788,-2.31665283345536
77,-13.6979160699487,-2.59638298269031
78,-13.9534090302016,-2.87866906956544
79,-14.1909037675249,-3.16355240628704
80,-14.4103322288256,-3.45107922537135
81,-14.6116586369573,-3.74130027432533
82,-14.7948626394777,-4.03427024160102
83,-14.9599262280952,-4.33004698042395
84,-15.1068255416452,-4.62869049137925
85,-15.2355282465988,-4.93026161797856
86,-15.3459967244619,-5.23482040171421
87,-15.4381968180443,-5.54242403424428
88,-15.5121114303105,-5.85312433428716
89,-15.5677578620454,-6.16696466555049
90,-15.6052074498648,-6.48397619970476
91,-15.6246058549654,-6.80417341534343
92,-15.6261922813006,-7.12754871063555
93,-15.6103159849631,-7.45406599496725
94,-15.5774486737832,-7.7836531148731
95,-15.5281917671172,-8.1161929643963
96,-15.4632779506372,-8.45151313324692
97,-15.3835669650857,-8.78937396281504
98,-15.2900360509615,-9.12945491722206
99,-15.1837658771793,-9.47133924344283
100,-15.0659230694471,-9.81449700292662
101,-14.9377406025492,-10.1582667213166
102,-14.8004973310691,-10.5018361385654
103,-14.6554978253173,-10.8442228640703
104,-14.5040534858283,-11.1842561606676
105,-14.3474656681008,-11.5205615959259
106,-14.1870112947131,-11.8515508856196
107,-14.0239311931809,-12.1754198539193
108,-13.8594211944311,-12.4901579402738
109,-13.6946258687068,-12.7935729291274
110,-13.5306346653149,-13.0833343481071
111,-13.3684801563436,-13.3570380348036
112,-13.2091380552755,-13.6122925204378
113,-13.0535286808276,-13.8468250798142
114,-12.9025195558604,-14.0586017764424
115,-12.7569288632837,-14.245952156033
116,-12.6175295193994,-14.4076862819761
117,-12.4850536654761,-14.5431905408305
118,-12.3601974173264,-14.6524898201244
119,-12.2436257482861,-14.736267430895
120,-12.135977412177,-14.7958398886219
121,-12.0378698391766,-14.8330900926581
122,-11.9499039590444,-14.8503680291169
123,-11.872668923146,-14.850371633463
124,-11.8067467095868,-14.8360213443847
125,-11.752716604906,-14.8103403912165
126,-11.7111595615442,-14.7763497712625
127,-11.6826624328698,-14.7369831715389
128,-11.6678220869457,-14.6950236170083
129,-11.6672493961861,-14.6530609138271
130,-11.6815730920099,-14.6134671937646
131,-11.7114434605091,-14.5783869921496
132,-11.7575358353839,-14.5497381052726
133,-11.8205538154888,-14.5292197347956
134,-11.9012320926384,-14.5183249227537
135,-12.0003387155544,-14.5183548513698
136,-12.1186765303063,-14.5304331244487
137,-12.2570834152388,-14.555518606344
138,-12.4164307532058,-14.5944157490288
139,-12.597619332953,-14.6477815875502
140,-12.8015715118284,-14.7161287409063
141,-13.0292179568894,-14.799823837034
142,-13.2814765454734,-14.8990808084357
143,-13.5592199598836,-15.0139485036298
144,-13.8632270366961,-15.1442920590285
145,-14.1941108872813,-15.2897675150702
146,-14.5522140483072,-15.449789292693
147,-14.9374573728662,-15.6234904448377
148,-15.3491251995616,-15.8096761608668
149,-15.7855653289673,-16.0067719532036
150,-16.2437806763631,-16.2127694334654
151,-16.7188950785539,-16.4251747102707
152,-17.2034981805283,-16.6409672460604
153,-17.6869292214333,-16.8565803230117
154,-18.1546653809959,-17.0679175431013
155,-18.5881416785069,-17.2704219364222
156,-18.9654953950114,-17.4592135899907
157,-19.2637389858778,-17.6293062221107
158,-19.4624746774282,-17.7759012739864
159,-19.5483796459911,-17.8947401405473
160,-19.518765244746,-17.9824745418906
161,-19.3824721513862,-18.0369985419549
162,-19.1576219705317,-18.0576814633658
163,-18.8674054350774,-18.0454541626952
164,-18.5357900905466,-18.0027301321005
165,-18.1844778450183,-17.9331784533592
166,-17.8314367190278,-17.8413951426172
167,-17.4906537301921,-17.7325334006685
168,-17.1725758550929,-17.6119496936929
169,-16.8848147722983,-17.4849064421325
170,-16.6328673097664,-17.3563514740465
171,-16.4207416737588,-17.2307762160154
172,-16.2514605649191,-17.1121424260694
173,-16.1274505229608,-17.0038614979001
174,-16.0508404883876,-16.9088094878832
175,-16.0236945134711,-16.829363018764
176,-16.0482010567599,-16.7674443858422
177,-16.1268378784985,-16.7245674164602
178,-16.2625286917606,-16.7018783442875
179,-16.4588058810369,-16.7001879713416
180,-16.7199927341487,-16.7199927341487
