"Theta [deg]","dB(GainY) [] - Freq='20.5GHz' Phi='0deg'","dB(GainY) [] - Freq='20.5GHz' Phi='90deg'"
-41,-37.2665494696936,-17.9126783221682
-40,-37.2686521286546,-17.6983818115544
-39,-37.2793108310356,-17.5009953621399
-38,-37.2990771099292,-17.3206766879404
-37,-37.3285395204369,-17.1576100036213
-36,-37.368316577639,-17.0120077922131
-35,-37.4190495137593,-16.884112902817
-34,-37.4813949055109,-16.7742010330943
-33,-37.5560171665828,-16.6825836614267
-32,-37.6435808333878,-16.6096115062265
-31,-37.7447424940022,-16.5556786056948
-30,-37.8601421191468,-16.5212271313023
-29,-37.9903934473432,-16.5067530736609
-28,-38.1360729500613,-16.5128129719216
-27,-38.2977067516123,-16.5400318996272
-26,-38.4757546968489,-16.589112974146
-25,-38.6705905416729,-16.660848727634
-24,-38.8824769831331,-16.7561347708304
-23,-39.1115339491917,-16.8759863052008
-22,-39.3576982462602,-17.0215582058925
-21,-39.6206723507679,-17.1941696248693
-20,-39.8998599041066,-17.3953343757208
-19,-40.1942854690068,-17.6267987967037
-18,-40.5024965736916,-17.8905894037843
-17,-40.8224474006109,-18.1890735292468
-16,-41.1513662488358,-18.5250374332735
-15,-41.4856138707318,-18.9017883007045
-14,-41.8205477462057,-19.3232894645828
-13,-42.1504187161713,-19.794342763232
-12,-42.4683403002778,-20.3208392433896
-11,-42.7663840282129,-20.9101114700574
-10,-43.0358588752372,-21.5714412645683
-9,-43.2678184138881,-22.31681319116
-8,-43.4537951576843,-23.1620719470582
-7,-43.5866874724409,-24.1287749083165
-6,-43.6616409273066,-25.2473098009987
-5,-43.676714840517,-26.5624796577372
-4,-43.6331481443644,-28.1443430761403
-3,-43.5351444824877,-30.1116360336296
-2,-43.3892411812615,-32.6906772261471
-1,-43.203439889534,-36.4029028691891
0,-42.9863097795193,-42.9863097795194
1,-42.7462296378571,-54.1797074092405
2,-42.4908529535456,-40.4899776878955
3,-42.2268035053852,-35.160596909019
4,-41.9595612060455,-31.8962823581632
5,-41.693480626514,-29.5541641053807
6,-41.4318878542136,-27.7385880037848
7,-41.1772138903813,-26.2657799634721
8,-40.9311368519461,-25.0353684401616
9,-40.6947169827869,-23.986523945134
10,-40.4685168290842,-23.0795947619051
11,-40.2527042069292,-22.2872990234878
12,-40.0471385595713,-21.5900660655941
13,-39.8514427343124,-20.9733826662833
14,-39.6650627023656,-20.4261905182662
15,-39.4873177079327,-19.9398717474523
16,-39.3174430225184,-19.50758115174
17,-39.1546270493759,-19.1237920033409
18,-38.9980440577043,-18.7839783431042
19,-38.8468833761973,-18.4843873120825
20,-38.7003754708562,-18.2218725276143
21,-38.5578149933712,-17.9937698536543
22,-38.418580629767,-17.7978032455717
23,-38.2821514160148,-17.6320123381912
24,-38.1481191238955,-17.4946960241653
25,-38.0161963546298,-17.3843679750965
26,-37.8862200984167,-17.2997212092315
27,-37.7581507044378,-17.2395996015502
28,-37.6320664301476,-17.2029747861513
29,-37.5081539691582,-17.188927294478
30,-37.3866955632078,-17.1966310565567
31,-37.2680534606215,-17.2253405994508
32,-37.1526525754595,-17.2743804300296
33,-37.0409622228777,-17.3431362033272
34,-36.9334777618306,-17.4310473638593
35,-36.8307028786909,-17.5376010127775
36,-36.7331331118384,-17.6623268040031
37,-36.6412410662343,-17.8047927113157
38,-36.5554636153068,-17.9646015385758
39,-36.4761912484983,-18.1413880688817
40,-36.4037596054712,-18.3348167670191
41,-36.3384431467856,-18.5445799642142
42,-36.2804508465464,-18.7703964658158
43,-36.2299237529455,-19.0120105317955
44,-36.1869342438574,-19.2691911873919
45,-36.1514868018037,-19.5417318272902
46,-36.1235201406513,-19.829450081759
47,-36.1029105306093,-20.1321879175017
48,-36.0894761843468,-20.449811949877
49,-36.0829825820345,-20.7822139468849
50,-36.0831486243582,-21.1293115091461
51,-36.089653508424,-21.4910489142953
52,-36.1021442211827,-21.867398119035
53,-36.1202435385357,-22.2583599178753
54,-36.1435584063976,-22.6639652646574
55,-36.1716885641034,-23.0842767717521
56,-36.2042352527069,-23.5193904128257
57,-36.2408098333714,-23.9694374689135
58,-36.281042126948,-24.4345867750087
59,-36.3245882776665,-24.9150473464805
60,-36.3711379440437,-25.4110714927057
61,-36.420420630416,-25.9229585610817
62,-36.4722109938513,-26.4510595004354
63,-36.5263329933914,-26.9957824919202
64,-36.5826627903007,-27.5575999721305
65,-36.6411303568685,-28.1370574733242
66,-36.7017198040727,-28.7347848376482
67,-36.7644684913546,-29.3515105378335
68,-36.8294650310867,-29.9880800727469
69,-36.8968463426006,-30.6454797268029
70,-36.9667939432081,-31.324867423515
71,-37.0395296847955,-32.027613019462
72,-37.1153111537052,-32.7553512586505
73,-37.1944269492303,-33.5100518687666
74,-37.2771920435143,-34.294113139042
75,-37.3639434049965,-35.110488118424
76,-37.455036041172,-35.9628568949098
77,-37.5508395867965,-36.8558652789436
78,-37.6517355330751,-37.7954614513897
79,-37.7581151637698,-38.7893811933691
80,-37.8703782371041,-39.8478659390326
81,-37.9889324288755,-40.9847599909486
82,-38.1141935329692,-42.2192542285305
83,-38.2465864007577,-43.5787949309883
84,-38.3865465906863,-45.1042406672551
85,-38.5345226934998,-46.8597484234408
86,-38.6909792968,-48.9538088780264
87,-38.8564005546677,-51.5910924585623
88,-39.0312943337264,-55.232841243812
89,-39.2161969161614,-61.353668251429
90,-39.4116782528924,-323.48088509087
91,-39.6183477765593,-61.4913576163315
92,-39.8368608046786,-55.5068357215951
93,-40.0679255889867,-51.9986599025795
94,-40.312311098662,-49.490940275963
95,-40.5708556642778,-47.5212603435363
96,-40.8444766580376,-45.8839045229718
97,-41.1341814468733,-44.4694874311226
98,-41.4410799322401,-43.2131227145167
99,-41.7663990893112,-42.0733960931483
100,-42.1115000463762,-41.0224811020627
101,-42.4778984133459,-40.0409780887881
102,-42.867288791879,-39.1149960505396
103,-43.2815747012358,-38.2343953180805
104,-43.7229055665898,-37.3916735395213
105,-44.1937229893722,-36.5812287359644
